country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,,,2020-02-15,5,4,-5,8,6,0
BR,Brazil,,,2020-02-16,2,3,-13,3,0,1
BR,Brazil,,,2020-02-17,-2,0,-12,9,19,-1
BR,Brazil,,,2020-02-18,-3,-1,-11,9,15,-1
BR,Brazil,,,2020-02-19,-1,-2,-5,8,14,-1
BR,Brazil,,,2020-02-20,1,7,2,11,15,-2
BR,Brazil,,,2020-02-21,2,10,1,12,13,-1
BR,Brazil,,,2020-02-22,-3,6,12,6,-4,0
BR,Brazil,,,2020-02-23,4,7,32,2,-3,1
BR,Brazil,,,2020-02-24,-14,-7,69,-27,-45,8
BR,Brazil,,,2020-02-25,-31,-29,51,-35,-61,10
BR,Brazil,,,2020-02-26,-18,-11,-8,-17,-18,6
BR,Brazil,,,2020-02-27,-8,2,-11,1,10,1
BR,Brazil,,,2020-02-28,-5,3,-17,2,13,1
BR,Brazil,,,2020-02-29,-3,5,-23,-2,5,3
BR,Brazil,,,2020-03-01,-9,3,-34,-10,-1,5
BR,Brazil,,,2020-03-02,-6,1,-25,6,20,0
BR,Brazil,,,2020-03-03,-5,2,-21,6,15,-1
BR,Brazil,,,2020-03-04,-1,2,-11,7,16,-1
BR,Brazil,,,2020-03-05,0,7,-5,10,18,-2
BR,Brazil,,,2020-03-06,6,11,-7,13,18,-2
BR,Brazil,,,2020-03-07,9,13,-14,8,7,0
BR,Brazil,,,2020-03-08,8,11,-17,2,3,1
BR,Brazil,,,2020-03-09,1,5,-12,12,21,-2
BR,Brazil,,,2020-03-10,0,5,-11,11,17,-2
BR,Brazil,,,2020-03-11,1,2,-6,10,17,-1
BR,Brazil,,,2020-03-12,-2,4,-5,10,17,-2
BR,Brazil,,,2020-03-13,0,7,-8,10,18,-2
BR,Brazil,,,2020-03-14,-2,7,-15,0,6,1
BR,Brazil,,,2020-03-15,-8,7,-21,-7,0,3
BR,Brazil,,,2020-03-16,-11,6,-23,-4,14,1
BR,Brazil,,,2020-03-17,-19,7,-28,-15,3,4
BR,Brazil,,,2020-03-18,-25,5,-28,-22,-6,7
BR,Brazil,,,2020-03-19,-36,2,-34,-31,-17,10
BR,Brazil,,,2020-03-20,-45,0,-45,-37,-21,13
BR,Brazil,,,2020-03-21,-63,-16,-66,-50,-30,16
BR,Brazil,,,2020-03-22,-72,-33,-75,-60,-34,17
BR,Brazil,,,2020-03-23,-65,-26,-61,-58,-42,20
BR,Brazil,,,2020-03-24,-71,-33,-62,-63,-51,22
BR,Brazil,,,2020-03-25,-69,-32,-57,-63,-52,23
BR,Brazil,,,2020-03-26,-69,-29,-54,-62,-50,22
BR,Brazil,,,2020-03-27,-67,-26,-56,-60,-48,23
BR,Brazil,,,2020-03-28,-70,-27,-64,-59,-41,19
BR,Brazil,,,2020-03-29,-71,-35,-70,-62,-34,17
BR,Brazil,,,2020-03-30,-62,-26,-55,-59,-43,20
BR,Brazil,,,2020-03-31,-60,-21,-53,-58,-45,19
BR,Brazil,,,2020-04-01,-58,-19,-48,-57,-45,20
BR,Brazil,,,2020-04-02,-59,-17,-48,-57,-45,20
BR,Brazil,,,2020-04-03,-60,-14,-52,-55,-42,20
BR,Brazil,,,2020-04-04,-63,-13,-60,-53,-35,16
BR,Brazil,,,2020-04-05,-67,-24,-66,-57,-30,15
BR,Brazil,,,2020-04-06,-56,-14,-53,-53,-38,18
BR,Brazil,,,2020-04-07,-53,-8,-50,-53,-40,17
BR,Brazil,,,2020-04-08,-52,-7,-46,-52,-40,18
BR,Brazil,,,2020-04-09,-49,11,-40,-49,-41,16
BR,Brazil,,,2020-04-10,-76,-38,-58,-69,-72,27
BR,Brazil,,,2020-04-11,-59,-5,-59,-52,-36,16
BR,Brazil,,,2020-04-12,-67,-25,-67,-55,-26,13
BR,Brazil,,,2020-04-13,-54,-19,-52,-53,-35,17
BR,Brazil,,,2020-04-14,-56,-20,-54,-55,-39,18
BR,Brazil,,,2020-04-15,-54,-17,-47,-53,-38,18
BR,Brazil,,,2020-04-16,-56,-14,-46,-53,-38,18
BR,Brazil,,,2020-04-17,-55,-11,-50,-51,-36,19
BR,Brazil,,,2020-04-18,-61,-15,-59,-50,-28,15
BR,Brazil,,,2020-04-19,-67,-23,-64,-56,-25,14
BR,Brazil,,,2020-04-20,-53,-11,-47,-53,-39,17
BR,Brazil,,,2020-04-21,-71,-37,-51,-68,-67,23
BR,Brazil,,,2020-04-22,-53,-15,-45,-51,-34,17
BR,Brazil,,,2020-04-23,-56,-17,-44,-54,-36,18
BR,Brazil,,,2020-04-24,-55,-14,-48,-50,-32,18
BR,Brazil,,,2020-04-25,-59,-14,-55,-48,-25,15
BR,Brazil,,,2020-04-26,-65,-22,-61,-54,-23,14
BR,Brazil,,,2020-04-27,-54,-19,-50,-51,-30,17
BR,Brazil,,,2020-04-28,-53,-16,-48,-50,-33,13
BR,Brazil,,,2020-04-29,-52,-15,-43,-50,-32,17
BR,Brazil,,,2020-04-30,-48,3,-37,-46,-31,14
BR,Brazil,,,2020-05-01,-71,-33,-49,-66,-66,25
BR,Brazil,,,2020-05-02,-57,-7,-54,-50,-27,15
BR,Brazil,,,2020-05-03,-65,-21,-62,-54,-21,13
BR,Brazil,,,2020-05-04,-50,-10,-48,-48,-27,15
BR,Brazil,,,2020-05-05,-50,-7,-47,-48,-31,16
BR,Brazil,,,2020-05-06,-49,-6,-44,-48,-31,16
BR,Brazil,,,2020-05-07,-48,1,-43,-47,-31,16
BR,Brazil,Federal District,,2020-02-15,10,7,-8,8,8,0
BR,Brazil,Federal District,,2020-02-16,11,6,-10,4,0,2
BR,Brazil,Federal District,,2020-02-17,2,4,-1,11,22,-2
BR,Brazil,Federal District,,2020-02-18,1,4,2,14,22,-2
BR,Brazil,Federal District,,2020-02-19,-2,0,-3,9,20,-2
BR,Brazil,Federal District,,2020-02-20,4,8,15,12,21,-3
BR,Brazil,Federal District,,2020-02-21,7,15,-1,12,22,-3
BR,Brazil,Federal District,,2020-02-22,-6,3,-13,-3,-3,0
BR,Brazil,Federal District,,2020-02-23,-6,-2,-18,-6,-7,1
BR,Brazil,Federal District,,2020-02-24,-31,-15,-16,-34,-61,12
BR,Brazil,Federal District,,2020-02-25,-39,-27,14,-35,-71,11
BR,Brazil,Federal District,,2020-02-26,-20,-7,-14,-17,-22,9
BR,Brazil,Federal District,,2020-02-27,-4,5,16,5,17,-1
BR,Brazil,Federal District,,2020-02-28,-2,7,-14,4,22,1
BR,Brazil,Federal District,,2020-02-29,1,7,-25,-5,6,4
BR,Brazil,Federal District,,2020-03-01,1,14,-26,-4,1,5
BR,Brazil,Federal District,,2020-03-02,-3,1,-15,9,22,-1
BR,Brazil,Federal District,,2020-03-03,4,11,0,11,22,-2
BR,Brazil,Federal District,,2020-03-04,2,9,1,10,22,-2
BR,Brazil,Federal District,,2020-03-05,2,10,14,10,22,-3
BR,Brazil,Federal District,,2020-03-06,8,16,-15,11,25,-3
BR,Brazil,Federal District,,2020-03-07,12,19,-18,6,8,0
BR,Brazil,Federal District,,2020-03-08,18,23,3,6,4,1
BR,Brazil,Federal District,,2020-03-09,5,13,-3,15,24,-3
BR,Brazil,Federal District,,2020-03-10,4,14,6,17,23,-4
BR,Brazil,Federal District,,2020-03-11,2,11,1,13,22,-4
BR,Brazil,Federal District,,2020-03-12,0,14,9,3,7,2
BR,Brazil,Federal District,,2020-03-13,3,17,-1,2,8,2
BR,Brazil,Federal District,,2020-03-14,-2,14,-6,-2,3,2
BR,Brazil,Federal District,,2020-03-15,-8,13,-9,-5,-1,3
BR,Brazil,Federal District,,2020-03-16,-10,11,10,-8,1,4
BR,Brazil,Federal District,,2020-03-17,-18,10,4,-13,-5,6
BR,Brazil,Federal District,,2020-03-18,-25,12,-6,-21,-13,11
BR,Brazil,Federal District,,2020-03-19,-37,16,-25,-30,-24,14
BR,Brazil,Federal District,,2020-03-20,-56,7,-44,-40,-36,20
BR,Brazil,Federal District,,2020-03-21,-70,-21,-66,-52,-43,21
BR,Brazil,Federal District,,2020-03-22,-75,-37,-77,-62,-41,21
BR,Brazil,Federal District,,2020-03-23,-68,-29,-59,-60,-52,25
BR,Brazil,Federal District,,2020-03-24,-71,-31,-62,-62,-57,27
BR,Brazil,Federal District,,2020-03-25,-71,-34,-62,-64,-59,28
BR,Brazil,Federal District,,2020-03-26,-69,-28,-56,-62,-58,27
BR,Brazil,Federal District,,2020-03-27,-66,-21,-54,-59,-55,28
BR,Brazil,Federal District,,2020-03-28,-70,-30,-66,-59,-45,23
BR,Brazil,Federal District,,2020-03-29,-68,-28,-63,-56,-36,20
BR,Brazil,Federal District,,2020-03-30,-60,-22,-46,-57,-51,23
BR,Brazil,Federal District,,2020-03-31,-61,-17,-42,-56,-52,24
BR,Brazil,Federal District,,2020-04-01,-59,-14,-41,-56,-52,24
BR,Brazil,Federal District,,2020-04-02,-59,-11,-35,-55,-52,24
BR,Brazil,Federal District,,2020-04-03,-58,-5,-42,-52,-49,24
BR,Brazil,Federal District,,2020-04-04,-61,-10,-53,-49,-38,19
BR,Brazil,Federal District,,2020-04-05,-64,-20,-62,-53,-33,17
BR,Brazil,Federal District,,2020-04-06,-55,-11,-42,-52,-47,21
BR,Brazil,Federal District,,2020-04-07,-54,-5,-43,-51,-49,20
BR,Brazil,Federal District,,2020-04-08,-53,-1,-45,-51,-49,20
BR,Brazil,Federal District,,2020-04-09,-46,20,-27,-47,-49,17
BR,Brazil,Federal District,,2020-04-10,-73,-29,-50,-64,-76,27
BR,Brazil,Federal District,,2020-04-11,-54,0,-50,-46,-38,16
BR,Brazil,Federal District,,2020-04-12,-62,-18,-59,-49,-28,13
BR,Brazil,Federal District,,2020-04-13,-52,-14,-42,-51,-46,19
BR,Brazil,Federal District,,2020-04-14,-55,-15,-43,-52,-47,20
BR,Brazil,Federal District,,2020-04-15,-56,-13,-51,-52,-48,23
BR,Brazil,Federal District,,2020-04-16,-60,-8,-69,-50,-49,24
BR,Brazil,Federal District,,2020-04-17,-56,4,-67,-42,-43,23
BR,Brazil,Federal District,,2020-04-18,-62,-11,-73,-40,-31,18
BR,Brazil,Federal District,,2020-04-19,-67,-14,-71,-40,-27,17
BR,Brazil,Federal District,,2020-04-20,-58,-10,-67,-46,-46,21
BR,Brazil,Federal District,,2020-04-21,-73,-29,-68,-59,-72,28
BR,Brazil,Federal District,,2020-04-22,-60,-12,-70,-46,-44,21
BR,Brazil,Federal District,,2020-04-23,-60,-13,-67,-47,-45,22
BR,Brazil,Federal District,,2020-04-24,-58,-4,-66,-41,-41,22
BR,Brazil,Federal District,,2020-04-25,-59,-7,-67,-35,-27,17
BR,Brazil,Federal District,,2020-04-26,-65,-14,-67,-38,-24,16
BR,Brazil,Federal District,,2020-04-27,-56,-12,-64,-43,-40,20
BR,Brazil,Federal District,,2020-04-28,-57,-9,-63,-41,-42,17
BR,Brazil,Federal District,,2020-04-29,-57,-7,-61,-41,-41,21
BR,Brazil,Federal District,,2020-04-30,-53,7,-50,-38,-41,19
BR,Brazil,Federal District,,2020-05-01,-72,-10,-57,-52,-70,27
BR,Brazil,Federal District,,2020-05-02,-59,-5,-64,-38,-29,16
BR,Brazil,Federal District,,2020-05-03,-64,-12,-56,-37,-21,14
BR,Brazil,Federal District,,2020-05-04,-54,-5,-59,-40,-38,18
BR,Brazil,Federal District,,2020-05-05,-53,2,-58,-38,-39,18
BR,Brazil,Federal District,,2020-05-06,-53,4,-58,-37,-39,18
BR,Brazil,Federal District,,2020-05-07,-51,8,-53,-37,-39,18
BR,Brazil,State of Acre,,2020-02-15,2,5,-2,5,5,1
BR,Brazil,State of Acre,,2020-02-16,-1,3,0,-12,-1,2
BR,Brazil,State of Acre,,2020-02-17,-5,2,0,13,20,-2
BR,Brazil,State of Acre,,2020-02-18,-1,1,-2,2,19,-2
BR,Brazil,State of Acre,,2020-02-19,-2,-4,0,-1,19,-2
BR,Brazil,State of Acre,,2020-02-20,-2,2,0,3,20,-1
BR,Brazil,State of Acre,,2020-02-21,-6,7,0,12,19,-1
BR,Brazil,State of Acre,,2020-02-22,5,12,16,-2,1,-1
BR,Brazil,State of Acre,,2020-02-23,6,9,33,-29,-2,-1
BR,Brazil,State of Acre,,2020-02-24,-2,0,47,-27,-34,4
BR,Brazil,State of Acre,,2020-02-25,-20,-10,71,-36,-52,6
BR,Brazil,State of Acre,,2020-02-26,-14,-9,1,-18,-24,5
BR,Brazil,State of Acre,,2020-02-27,-10,-2,-13,-7,17,1
BR,Brazil,State of Acre,,2020-02-28,-8,2,-18,-10,21,0
BR,Brazil,State of Acre,,2020-02-29,1,10,-12,-2,9,2
BR,Brazil,State of Acre,,2020-03-01,-7,8,-16,1,0,4
BR,Brazil,State of Acre,,2020-03-02,4,10,5,7,27,-4
BR,Brazil,State of Acre,,2020-03-03,2,8,-4,1,23,-2
BR,Brazil,State of Acre,,2020-03-04,3,5,5,2,25,-3
BR,Brazil,State of Acre,,2020-03-05,1,4,-1,9,25,-2
BR,Brazil,State of Acre,,2020-03-06,1,6,-10,14,27,-2
BR,Brazil,State of Acre,,2020-03-07,13,15,4,15,10,0
BR,Brazil,State of Acre,,2020-03-08,15,12,-3,4,7,1
BR,Brazil,State of Acre,,2020-03-09,2,6,2,9,27,-3
BR,Brazil,State of Acre,,2020-03-10,8,6,1,11,26,-4
BR,Brazil,State of Acre,,2020-03-11,2,0,2,3,25,-3
BR,Brazil,State of Acre,,2020-03-12,1,1,5,7,26,-2
BR,Brazil,State of Acre,,2020-03-13,-12,-2,-19,5,25,-1
BR,Brazil,State of Acre,,2020-03-14,0,8,-5,25,11,0
BR,Brazil,State of Acre,,2020-03-15,-6,6,-11,6,3,2
BR,Brazil,State of Acre,,2020-03-16,-9,3,-9,6,25,-3
BR,Brazil,State of Acre,,2020-03-17,-11,20,-11,-6,17,-1
BR,Brazil,State of Acre,,2020-03-18,-26,4,-22,-15,-5,6
BR,Brazil,State of Acre,,2020-03-19,-34,-5,-26,-27,-12,9
BR,Brazil,State of Acre,,2020-03-20,-48,-12,-48,-28,-18,12
BR,Brazil,State of Acre,,2020-03-21,-67,-10,-55,-41,-25,12
BR,Brazil,State of Acre,,2020-03-22,-77,-26,-65,-52,-29,13
BR,Brazil,State of Acre,,2020-03-23,-68,-21,-48,-64,-41,17
BR,Brazil,State of Acre,,2020-03-24,-67,-22,-48,-70,-47,17
BR,Brazil,State of Acre,,2020-03-25,-65,-23,-48,-67,-45,17
BR,Brazil,State of Acre,,2020-03-26,-63,-25,-48,-58,-43,17
BR,Brazil,State of Acre,,2020-03-27,-62,-17,-51,-59,-39,17
BR,Brazil,State of Acre,,2020-03-28,-64,-18,-54,-70,-29,13
BR,Brazil,State of Acre,,2020-03-29,-68,-20,-56,-75,-22,11
BR,Brazil,State of Acre,,2020-03-30,-56,-22,-43,-73,-35,15
BR,Brazil,State of Acre,,2020-03-31,-46,-6,-38,-48,-35,12
BR,Brazil,State of Acre,,2020-04-01,-51,-11,-39,-64,-35,13
BR,Brazil,State of Acre,,2020-04-02,-49,-11,-40,-68,-33,13
BR,Brazil,State of Acre,,2020-04-03,-57,-13,-48,-71,-33,15
BR,Brazil,State of Acre,,2020-04-04,-55,-5,-52,-70,-23,10
BR,Brazil,State of Acre,,2020-04-05,-67,-20,-56,-65,-23,10
BR,Brazil,State of Acre,,2020-04-06,-43,-6,-34,-70,-29,11
BR,Brazil,State of Acre,,2020-04-07,-40,-1,-36,-57,-31,11
BR,Brazil,State of Acre,,2020-04-08,-42,1,-32,-66,-30,11
BR,Brazil,State of Acre,,2020-04-09,-44,5,-35,-68,-38,12
BR,Brazil,State of Acre,,2020-04-10,-75,-25,-55,-78,-65,20
BR,Brazil,State of Acre,,2020-04-11,-55,-7,-46,-72,-27,10
BR,Brazil,State of Acre,,2020-04-12,-65,-18,-52,-67,-20,8
BR,Brazil,State of Acre,,2020-04-13,-46,-13,-33,-70,-27,12
BR,Brazil,State of Acre,,2020-04-14,-45,-14,-32,-64,-30,12
BR,Brazil,State of Acre,,2020-04-15,-54,-21,-46,-70,-35,16
BR,Brazil,State of Acre,,2020-04-16,-45,-10,-39,-67,-29,14
BR,Brazil,State of Acre,,2020-04-17,-51,-11,-42,-68,-27,16
BR,Brazil,State of Acre,,2020-04-18,-56,-9,-44,-69,-19,10
BR,Brazil,State of Acre,,2020-04-19,-66,-17,-47,-64,-18,10
BR,Brazil,State of Acre,,2020-04-20,-47,-13,-33,-67,-33,13
BR,Brazil,State of Acre,,2020-04-21,-65,-26,-44,-66,-57,17
BR,Brazil,State of Acre,,2020-04-22,-47,-14,-35,-66,-29,13
BR,Brazil,State of Acre,,2020-04-23,-50,-14,-39,-72,-28,14
BR,Brazil,State of Acre,,2020-04-24,-55,-14,-46,-67,-27,14
BR,Brazil,State of Acre,,2020-04-25,-57,-10,-45,-69,-19,10
BR,Brazil,State of Acre,,2020-04-26,-68,-17,-52,-69,-17,10
BR,Brazil,State of Acre,,2020-04-27,-46,-8,-31,-71,-24,13
BR,Brazil,State of Acre,,2020-04-28,-41,-4,-30,-58,-26,8
BR,Brazil,State of Acre,,2020-04-29,-43,-3,-30,-61,-25,12
BR,Brazil,State of Acre,,2020-04-30,-36,7,-25,-63,-25,11
BR,Brazil,State of Acre,,2020-05-01,-69,-12,-52,-72,-55,19
BR,Brazil,State of Acre,,2020-05-02,-54,-6,-50,-66,-19,10
BR,Brazil,State of Acre,,2020-05-03,-66,-17,-54,-72,-17,10
BR,Brazil,State of Acre,,2020-05-04,-41,-3,-30,-66,-24,12
BR,Brazil,State of Acre,,2020-05-05,-40,0,-32,-64,-28,12
BR,Brazil,State of Acre,,2020-05-06,-45,-1,-40,-43,-28,13
BR,Brazil,State of Acre,,2020-05-07,-43,2,-36,-63,-28,15
BR,Brazil,State of Alagoas,,2020-02-15,5,3,1,-9,1,0
BR,Brazil,State of Alagoas,,2020-02-16,-4,0,-21,-13,-1,3
BR,Brazil,State of Alagoas,,2020-02-17,-4,1,-20,-7,15,0
BR,Brazil,State of Alagoas,,2020-02-18,-3,-1,-18,-5,14,-1
BR,Brazil,State of Alagoas,,2020-02-19,1,-1,-10,-2,14,-1
BR,Brazil,State of Alagoas,,2020-02-20,-11,-5,-23,-6,10,1
BR,Brazil,State of Alagoas,,2020-02-21,-2,12,-23,7,11,0
BR,Brazil,State of Alagoas,,2020-02-22,-9,9,-4,4,-5,0
BR,Brazil,State of Alagoas,,2020-02-23,-8,6,18,-15,-3,1
BR,Brazil,State of Alagoas,,2020-02-24,-24,-15,50,-36,-55,6
BR,Brazil,State of Alagoas,,2020-02-25,-31,-30,44,-31,-62,5
BR,Brazil,State of Alagoas,,2020-02-26,-23,-19,-10,-20,-39,3
BR,Brazil,State of Alagoas,,2020-02-27,-10,-5,-15,-5,7,1
BR,Brazil,State of Alagoas,,2020-02-28,-10,0,-30,-10,11,2
BR,Brazil,State of Alagoas,,2020-02-29,-7,4,-30,-10,2,3
BR,Brazil,State of Alagoas,,2020-03-01,-12,1,-32,-6,-2,5
BR,Brazil,State of Alagoas,,2020-03-02,-6,2,-26,-3,15,0
BR,Brazil,State of Alagoas,,2020-03-03,-4,0,-22,-4,14,0
BR,Brazil,State of Alagoas,,2020-03-04,-2,-1,-18,-5,15,0
BR,Brazil,State of Alagoas,,2020-03-05,-4,1,-13,-4,15,-1
BR,Brazil,State of Alagoas,,2020-03-06,-1,6,-21,-1,18,0
BR,Brazil,State of Alagoas,,2020-03-07,0,8,-22,-7,4,1
BR,Brazil,State of Alagoas,,2020-03-08,2,5,-21,-13,1,3
BR,Brazil,State of Alagoas,,2020-03-09,-4,3,-16,-4,16,0
BR,Brazil,State of Alagoas,,2020-03-10,-2,2,-16,-3,15,-1
BR,Brazil,State of Alagoas,,2020-03-11,-1,-2,-15,-2,15,-1
BR,Brazil,State of Alagoas,,2020-03-12,-5,-4,-14,-5,14,0
BR,Brazil,State of Alagoas,,2020-03-13,-5,-1,-27,-5,17,0
BR,Brazil,State of Alagoas,,2020-03-14,-6,2,-27,-8,4,2
BR,Brazil,State of Alagoas,,2020-03-15,-17,-4,-37,-20,-3,4
BR,Brazil,State of Alagoas,,2020-03-16,-13,-2,-31,-12,12,1
BR,Brazil,State of Alagoas,,2020-03-17,-14,0,-26,-11,8,1
BR,Brazil,State of Alagoas,,2020-03-18,-23,-9,-36,-21,-7,6
BR,Brazil,State of Alagoas,,2020-03-19,-25,-7,-25,-22,-7,6
BR,Brazil,State of Alagoas,,2020-03-20,-31,1,-42,-26,-9,8
BR,Brazil,State of Alagoas,,2020-03-21,-65,-18,-61,-41,-29,13
BR,Brazil,State of Alagoas,,2020-03-22,-75,-35,-73,-56,-31,15
BR,Brazil,State of Alagoas,,2020-03-23,-71,-34,-64,-59,-46,18
BR,Brazil,State of Alagoas,,2020-03-24,-73,-40,-64,-64,-51,18
BR,Brazil,State of Alagoas,,2020-03-25,-71,-37,-62,-64,-50,18
BR,Brazil,State of Alagoas,,2020-03-26,-69,-35,-57,-65,-49,17
BR,Brazil,State of Alagoas,,2020-03-27,-71,-35,-66,-68,-47,20
BR,Brazil,State of Alagoas,,2020-03-28,-70,-32,-67,-69,-38,16
BR,Brazil,State of Alagoas,,2020-03-29,-77,-43,-79,-76,-35,17
BR,Brazil,State of Alagoas,,2020-03-30,-63,-25,-60,-65,-42,16
BR,Brazil,State of Alagoas,,2020-03-31,-61,-23,-57,-62,-42,15
BR,Brazil,State of Alagoas,,2020-04-01,-60,-23,-55,-61,-42,15
BR,Brazil,State of Alagoas,,2020-04-02,-62,-23,-54,-64,-42,16
BR,Brazil,State of Alagoas,,2020-04-03,-63,-20,-61,-64,-38,17
BR,Brazil,State of Alagoas,,2020-04-04,-64,-18,-64,-68,-31,13
BR,Brazil,State of Alagoas,,2020-04-05,-69,-27,-68,-71,-26,14
BR,Brazil,State of Alagoas,,2020-04-06,-59,-15,-57,-63,-37,15
BR,Brazil,State of Alagoas,,2020-04-07,-55,-9,-52,-58,-37,13
BR,Brazil,State of Alagoas,,2020-04-08,-54,-5,-47,-59,-37,13
BR,Brazil,State of Alagoas,,2020-04-09,-53,7,-42,-58,-40,12
BR,Brazil,State of Alagoas,,2020-04-10,-77,-42,-62,-76,-63,18
BR,Brazil,State of Alagoas,,2020-04-11,-62,-14,-59,-69,-34,13
BR,Brazil,State of Alagoas,,2020-04-12,-67,-21,-64,-68,-22,12
BR,Brazil,State of Alagoas,,2020-04-13,-56,-17,-53,-62,-35,14
BR,Brazil,State of Alagoas,,2020-04-14,-56,-20,-51,-62,-36,14
BR,Brazil,State of Alagoas,,2020-04-15,-55,-18,-48,-60,-35,14
BR,Brazil,State of Alagoas,,2020-04-16,-61,-20,-48,-61,-37,15
BR,Brazil,State of Alagoas,,2020-04-17,-60,-14,-54,-58,-33,16
BR,Brazil,State of Alagoas,,2020-04-18,-64,-19,-60,-65,-28,12
BR,Brazil,State of Alagoas,,2020-04-19,-70,-28,-66,-70,-23,13
BR,Brazil,State of Alagoas,,2020-04-20,-58,-15,-49,-60,-35,14
BR,Brazil,State of Alagoas,,2020-04-21,-69,-37,-53,-71,-57,18
BR,Brazil,State of Alagoas,,2020-04-22,-58,-22,-49,-59,-33,13
BR,Brazil,State of Alagoas,,2020-04-23,-59,-22,-45,-63,-34,14
BR,Brazil,State of Alagoas,,2020-04-24,-64,-26,-59,-63,-33,16
BR,Brazil,State of Alagoas,,2020-04-25,-62,-20,-61,-65,-25,13
BR,Brazil,State of Alagoas,,2020-04-26,-73,-38,-74,-74,-28,15
BR,Brazil,State of Alagoas,,2020-04-27,-59,-20,-53,-61,-31,14
BR,Brazil,State of Alagoas,,2020-04-28,-58,-21,-51,-61,-34,11
BR,Brazil,State of Alagoas,,2020-04-29,-56,-19,-47,-57,-33,13
BR,Brazil,State of Alagoas,,2020-04-30,-54,-14,-50,-57,-34,13
BR,Brazil,State of Alagoas,,2020-05-01,-74,-34,-64,-72,-60,21
BR,Brazil,State of Alagoas,,2020-05-02,-60,-15,-62,-64,-28,13
BR,Brazil,State of Alagoas,,2020-05-03,-68,-26,-66,-68,-21,13
BR,Brazil,State of Alagoas,,2020-05-04,-55,-13,-54,-60,-32,14
BR,Brazil,State of Alagoas,,2020-05-05,-54,-11,-50,-58,-33,13
BR,Brazil,State of Alagoas,,2020-05-06,-53,-13,-49,-53,-33,14
BR,Brazil,State of Alagoas,,2020-05-07,-55,-11,-48,-54,-34,14
BR,Brazil,State of Amapá,,2020-02-15,11,6,-10,-3,4,0
BR,Brazil,State of Amapá,,2020-02-16,8,5,2,6,2,1
BR,Brazil,State of Amapá,,2020-02-17,2,5,11,0,11,0
BR,Brazil,State of Amapá,,2020-02-18,-1,1,5,-1,12,0
BR,Brazil,State of Amapá,,2020-02-19,-3,1,-1,-12,7,0
BR,Brazil,State of Amapá,,2020-02-20,-2,-3,-11,-10,7,1
BR,Brazil,State of Amapá,,2020-02-21,9,12,8,-1,8,0
BR,Brazil,State of Amapá,,2020-02-22,3,5,3,-11,-2,1
BR,Brazil,State of Amapá,,2020-02-23,18,6,15,-40,0,-1
BR,Brazil,State of Amapá,,2020-02-24,-7,3,0,-54,-36,6
BR,Brazil,State of Amapá,,2020-02-25,-8,-39,4,-24,-62,7
BR,Brazil,State of Amapá,,2020-02-26,-20,-10,-3,-22,-33,7
BR,Brazil,State of Amapá,,2020-02-27,-3,0,-4,-6,8,1
BR,Brazil,State of Amapá,,2020-02-28,7,13,-1,-14,11,0
BR,Brazil,State of Amapá,,2020-02-29,9,11,-8,-14,7,2
BR,Brazil,State of Amapá,,2020-03-01,-1,6,-6,-3,1,3
BR,Brazil,State of Amapá,,2020-03-02,0,13,-7,-9,13,-1
BR,Brazil,State of Amapá,,2020-03-03,-1,9,-5,-8,12,-1
BR,Brazil,State of Amapá,,2020-03-04,1,8,0,-25,10,-2
BR,Brazil,State of Amapá,,2020-03-05,7,7,0,2,11,0
BR,Brazil,State of Amapá,,2020-03-06,12,15,1,-3,15,-1
BR,Brazil,State of Amapá,,2020-03-07,13,16,-10,-3,8,1
BR,Brazil,State of Amapá,,2020-03-08,21,19,11,-11,5,2
BR,Brazil,State of Amapá,,2020-03-09,-2,8,-4,-7,15,0
BR,Brazil,State of Amapá,,2020-03-10,4,14,-4,-8,17,-1
BR,Brazil,State of Amapá,,2020-03-11,0,7,-2,-28,11,-2
BR,Brazil,State of Amapá,,2020-03-12,4,5,2,-3,13,-1
BR,Brazil,State of Amapá,,2020-03-13,9,9,0,-6,15,-1
BR,Brazil,State of Amapá,,2020-03-14,3,13,-14,-8,9,1
BR,Brazil,State of Amapá,,2020-03-15,-14,13,-30,-2,-2,4
BR,Brazil,State of Amapá,,2020-03-16,-10,19,-3,-8,10,1
BR,Brazil,State of Amapá,,2020-03-17,-18,16,-10,-13,4,3
BR,Brazil,State of Amapá,,2020-03-18,-24,12,-16,-26,-13,6
BR,Brazil,State of Amapá,,2020-03-19,-50,-11,-35,-24,-51,16
BR,Brazil,State of Amapá,,2020-03-20,-45,14,-46,-35,-36,14
BR,Brazil,State of Amapá,,2020-03-21,-75,-21,-60,-43,-43,17
BR,Brazil,State of Amapá,,2020-03-22,-75,-29,-60,-53,-32,15
BR,Brazil,State of Amapá,,2020-03-23,-73,-26,-53,-51,-50,18
BR,Brazil,State of Amapá,,2020-03-24,-73,-31,-50,-64,-54,19
BR,Brazil,State of Amapá,,2020-03-25,-71,-28,-44,-68,-55,18
BR,Brazil,State of Amapá,,2020-03-26,-71,-31,-51,-53,-53,18
